signal_id,timestamp,signal_strength,frequency,bandwidth,modulation_type,encryption_protocol,wavelet_energy,entropy,latency,label
38,38,0.094785656,0.151303876,0.79432786,2,1,24.83529501,0.487332669,0.670252446,0
39,39,0.683407091,0.225407615,0.659841211,1,0,26.02955717,0.497318622,0.683187576,0
40,40,0.438469131,0.251068995,0.578169729,0,2,26.96188365,0.68125812,0.750728638,0
41,41,0.119237372,0.850990715,0.866660518,2,0,24.14105763,0.669029184,0.726463198,1
42,42,0.493686842,0.561466021,0.289605856,1,1,47.0593203,0.391291477,0.40193963,0
43,43,0.031279755,0.523616963,0.467968908,2,0,25.71411644,0.253126718,0.864763378,0
44,44,0.909285173,0.114809353,0.619780961,0,2,29.80864909,0.511163968,0.463861658,1
45,45,0.256459478,0.860518675,0.411439708,2,1,24.70369578,0.149406763,0.466392738,1
46,46,0.661620082,0.72313092,0.427746782,0,0,44.23625475,0.569348654,0.93229041,1
47,47,0.309576513,0.067687453,0.330478813,1,0,39.4159455,0.771275535,0.6756355,0
48,48,0.518665393,0.708144912,0.564585252,0,1,22.95644874,0.568083606,0.593585317,0
49,49,0.545401242,0.543773418,0.851122929,1,1,24.725119,0.553304906,0.755563258,1
50,50,0.182274259,0.08175082,0.201634855,1,2,28.65711963,0.776451181,0.905492012,0
51,51,0.9697611,0.458497133,0.935038537,0,1,26.07364401,0.464923306,0.400591468,1
52,52,0.774626209,0.484904766,0.689526101,1,2,41.1920913,0.491420294,0.979655513,1
53,53,0.939569727,0.165838185,0.823803025,2,0,28.97494539,0.288517107,0.719243796,1
54,54,0.894741209,0.946115984,0.556538653,1,2,29.58325119,0.537025915,0.888611706,0
55,55,0.596770765,0.850349737,0.78001672,0,0,37.92371281,0.659643077,0.511221568,0
56,56,0.921883106,0.669314526,0.016180688,2,1,43.61179673,0.662179409,0.032255345,0
57,57,0.085573797,0.462493867,0.818906905,2,0,25.01466051,0.593612057,0.153665837,0
58,58,0.193441759,0.4119409,0.040135449,1,1,39.58013239,0.651836932,0.448680685,0
59,59,0.042156598,0.651257459,0.890488562,1,0,31.10030148,0.585725358,0.517630786,0
60,60,0.323243611,0.545667931,0.992607417,0,0,31.64661855,0.682060934,0.651341202,0
61,61,0.3868131,0.062289746,0.294236948,2,0,36.48598713,0.81387483,0.138725537,0
62,62,0.269072681,0.512723755,0.210431019,0,0,29.65147468,0.494559427,0.719470247,0
63,63,0.828419202,0.806758195,0.765853746,1,2,31.63007585,0.610244783,0.182856106,0
64,64,0.354776992,0.459436796,0.253167882,2,0,26.05830186,0.302569318,0.396857167,1
65,65,0.278691832,0.051968533,0.866120989,0,2,37.83174844,0.778168876,0.52854108,0
66,66,0.541372944,0.786623638,0.102881876,0,1,28.88048295,0.444896384,0.202025096,0
67,67,0.138189707,0.201443589,0.126010217,0,1,39.1597237,0.526813132,0.743405596,0
68,68,0.801785439,0.258726644,0.979787502,0,2,38.34288323,0.658161622,0.659221978,0
69,69,0.071582963,0.164769513,0.674266963,0,1,33.78574469,0.49954037,0.897170709,1
70,70,0.98712419,0.330353388,0.847433115,2,1,29.98859373,0.569049371,0.025189902,1
71,71,0.771728009,0.757083535,0.324519468,0,0,29.86204383,0.614400541,0.756089034,1
72,72,0.196184178,0.519610092,0.676913615,2,0,33.74480961,0.545723964,0.291057578,1
73,73,0.002311947,0.204962678,0.594615696,0,0,47.62833079,0.347536981,0.206160348,0
74,74,0.815096484,0.878217094,0.603530054,1,2,26.78126905,0.49638598,0.874084594,1
75,75,0.706110885,0.879969666,0.682966444,1,2,37.76518524,0.503587833,0.549436778,1
76,76,0.728338519,0.870962147,0.575720185,0,1,44.02907072,0.680425582,0.288574079,0
77,77,0.770750164,0.238893018,0.42932377,1,0,35.55885346,0.402742827,0.137362378,0
78,78,0.071075193,0.451432629,0.276079825,2,2,33.44913851,0.62702343,0.372241683,1
79,79,0.356495409,0.985425337,0.769073904,0,2,37.48963782,0.333863608,0.223632891,0
80,80,0.113046525,0.772351436,0.226395755,2,0,44.38070046,0.613284313,0.383415008,0
81,81,0.862905842,0.027168119,0.692794978,0,2,47.21513293,0.348099555,0.061353876,0
82,82,0.622258134,0.065222563,0.233460955,1,0,48.42800483,0.466672306,0.796094447,1
83,83,0.328830863,0.464130425,0.625725206,2,1,29.42617257,0.782428155,0.461702108,1
84,84,0.060552055,0.909621477,0.747556199,1,1,38.33999817,0.130512203,0.553247901,1
85,85,0.308845199,0.538934803,0.218832067,1,1,23.28800415,0.371300292,0.877835277,1
86,86,0.323096085,0.498026943,0.059953375,0,0,24.84262057,0.529043605,0.895905597,0
87,87,0.728939634,0.105509959,0.131032181,2,2,55.31173849,0.699241143,0.482035323,0
88,88,0.63656757,0.657066733,0.60637884,1,1,30.09512009,0.410704526,0.06566142,1
89,89,0.887099852,0.822464869,0.849994039,0,1,36.34673588,0.375091789,0.918047018,0
90,90,0.470644194,0.380581131,0.044996719,0,1,26.63638641,0.421830785,0.010017782,0
91,91,0.116784798,0.775952445,0.734620389,0,2,27.00569829,0.658996917,0.765756725,1
92,92,0.712520767,0.964903019,0.341520304,1,2,29.02622194,0.245579004,0.776934886,1
93,93,0.760228032,0.203847357,0.478823451,0,0,38.08853734,0.611336071,0.731452245,0
94,94,0.560019332,0.523555655,0.929461254,2,1,36.78307208,0.506530632,0.672574757,0
95,95,0.770445932,0.287256718,0.332166798,2,2,33.88430242,0.590922589,0.908911654,0
96,96,0.492300676,0.793202844,0.465623034,1,0,33.88386054,0.558754227,0.368769216,0
97,97,0.521339562,0.577844033,0.013660991,2,1,27.5175032,0.494232173,0.340757715,0
98,98,0.425813353,0.634858965,0.081623539,0,2,28.14282391,0.370002439,0.091815826,0
99,99,0.022278852,0.798264882,0.258736922,1,2,31.68423503,0.492933549,0.647170366,1
100,100,0.105040868,0.396138658,0.027840465,0,0,28.57013648,0.676186568,0.729218199,0
101,101,0.028310024,0.915494005,0.631774478,1,1,24.03368236,0.646691981,0.870758112,1
102,102,0.63541648,0.533259296,0.426657944,1,1,24.26235744,0.432563872,0.586966138,1
103,103,0.312230709,0.158014916,0.548487685,0,2,24.74485791,0.256456861,0.344094394,0
104,104,0.507127674,0.696203512,0.17473536,2,1,41.56790765,0.509704322,0.441955748,0
105,105,0.907525084,0.79360996,0.296102784,2,0,40.96972856,0.43026231,0.587830924,0
106,106,0.246938396,0.31689389,0.664245721,1,2,36.03655664,0.339239851,0.73847945,0
107,107,0.408594983,0.857556894,0.965929241,0,2,27.72284321,0.388708261,0.806969346,1
108,108,0.754975736,0.906543128,0.050420362,0,0,30.9851465,0.750742125,0.665846462,1
109,109,0.226372339,0.2770186,0.890959827,1,2,39.72077789,0.818260289,0.576034404,0
110,110,0.074020763,0.983956487,0.577243249,2,1,22.11658331,0.764533681,0.506003542,0
111,111,0.287539748,0.14076379,0.564272789,0,1,32.79386656,0.494160104,0.231512246,0
112,112,0.15855807,0.202095771,0.500588426,2,2,23.90965913,0.615663815,0.008318234,0
113,113,0.929734007,0.184296863,0.069410595,2,0,22.83635982,0.814426426,0.135133109,1
114,114,0.807729647,0.894384064,0.089907307,1,0,32.45115163,0.587331244,0.62449303,1
115,115,0.632399264,0.654578051,0.601290416,1,1,31.87589304,0.469569192,0.02360194,1
116,116,0.871292364,0.152161719,0.341159984,2,0,28.84319611,0.440454543,0.666342673,1
117,117,0.803265717,0.440511746,0.917861878,0,2,43.74632159,0.736874328,0.087722089,0
118,118,0.18399589,0.615565815,0.406836638,0,2,36.86504726,0.683341797,0.123828671,1
119,119,0.892464889,0.083490349,0.143348277,1,1,18.20771695,0.67119854,0.940150393,1
120,120,0.538007322,0.882805467,0.715174733,2,1,36.75768765,0.423705189,0.289391759,1
121,121,0.807047033,0.803956842,0.293522421,0,1,31.275083,0.75103681,0.497735739,0
122,122,0.896009599,0.505424567,0.525797351,0,0,24.26330017,0.664555652,0.160369439,1
123,123,0.315891016,0.967554184,0.698277187,1,2,35.67204215,0.299473575,0.633067558,1
124,124,0.107208956,0.41793906,0.900846345,2,2,49.46208826,0.41746162,0.283296372,0
125,125,0.225506304,0.984545601,0.792699843,0,2,27.21753198,0.513918659,0.861824144,0
126,126,0.425378601,0.668211686,0.67679085,1,1,34.86274983,0.301142164,0.180699096,1
127,127,0.817658791,0.634947861,0.680065192,0,2,49.82091223,0.704795909,0.805145506,0
128,128,0.860524664,0.166018622,0.946537967,0,0,38.12280032,0.522567776,0.938689418,1
129,129,0.003746984,0.882316635,0.295994779,0,0,20.17178796,0.527797148,0.467058567,0
130,130,0.509311931,0.427672187,0.001082112,1,2,26.03658042,0.559960234,0.63911433,0
131,131,0.415647752,0.162295442,0.272108989,2,1,36.26925772,0.617054576,0.426874478,0
132,132,0.219658481,0.012601605,0.218008998,1,2,35.82562261,0.613278948,0.402820227,0
133,133,0.117056872,0.55999825,0.662254476,2,0,46.44314582,0.578884802,0.07121911,0
134,134,0.335571607,0.527627494,0.634112343,0,0,46.42705973,0.277872706,0.003557166,0
135,135,0.942992471,0.719668668,0.59383472,2,0,25.38294363,0.645234884,0.340786376,1
136,136,0.321108739,0.890650713,0.016223763,0,2,27.6147633,0.459985826,0.138526003,1
137,137,0.517383506,0.079431006,0.729243526,0,0,46.39198589,0.512947218,0.962651157,0
138,138,0.702259016,0.73181705,0.323719959,1,1,40.61217786,0.59538998,0.309623549,1
139,139,0.361677423,0.187485415,0.665478074,0,2,27.1036252,0.394884493,0.308302929,1
140,140,0.971966275,0.858555144,0.556926653,1,2,33.14694352,0.382838443,0.757735774,1
141,141,0.962598695,0.819423841,0.342933545,2,0,52.12425317,0.74296676,0.402444396,0
142,142,0.24943721,0.54102771,0.134637158,2,0,49.05862491,0.852033143,0.648496439,0
143,143,0.495765715,0.710553707,0.094452446,0,1,35.96772777,0.443879164,0.253539063,1
144,144,0.298705692,0.314481231,0.832053759,1,2,43.14230547,0.461759218,0.821556132,0
145,145,0.282611538,0.471370234,0.918992122,0,0,38.3975314,0.556265081,0.661298122,1
146,146,0.033786958,0.821998394,0.650199736,1,1,32.16697944,0.366269565,0.537078978,1
147,147,0.608476096,0.459462127,0.103473801,1,0,37.84281925,0.273017413,0.857352139,1
148,148,0.501215309,0.357949115,0.40227021,1,2,44.11321157,0.694009849,0.818780451,0
149,149,0.048430021,0.494425248,0.729404782,2,0,36.28565967,0.695516014,0.680457608,0
150,150,0.276395749,0.828613752,0.78032111,1,2,34.48454177,0.274754481,0.36593487,1
151,151,0.908226953,0.335348638,0.118268375,2,0,31.89613315,0.532974745,0.702999864,0
152,152,0.237173876,0.173828865,0,1,2,34.71835352,0.282443977,0.413930872,1
153,153,0.142174302,0.712325733,0.712591187,2,1,38.56395038,0.380271355,0.539844914,0
154,154,0.487942584,0.82634168,0.356808236,2,2,29.5828904,0.580434246,0.946371911,0
155,155,0.985883364,0.100671542,0.254623864,2,1,29.67547882,0.31414733,0.847265327,0
156,156,0.239676015,0.239971409,0.012875512,0,2,35.01180944,0.681150145,0.053545716,1
157,157,0.671267115,0.142024825,0.540636547,1,1,34.89776341,0.530309269,0.657547428,0
158,158,0.76106553,0.348087785,0.851699529,0,0,30.11950201,0.660815403,0.575941198,1
159,159,0.235242769,0.45054386,0.95825294,1,2,27.09456458,0.416485303,0.125594136,0
160,160,0.727544922,0.749154767,0.566099416,1,0,15.00197719,0.599190093,0.896349713,0
161,161,0.365845544,0.651431655,0.514780875,0,1,39.61205696,0.460360352,0.479959113,1
162,162,0.631297481,0.621198914,0.085083559,2,2,33.44232556,0.601010203,0.383299341,0
163,163,0.63252566,0.352523333,0.549215779,1,2,24.28977796,0.282601834,5.83E-06,1
164,164,0.534427231,0.841818046,0.38020706,2,0,26.93660642,0.411959962,0.389248644,1
165,165,0.087377379,0.471489557,0.607517928,0,2,32.25055466,0.465726193,0.873768492,0
166,166,0.83500725,0.979537946,0.388960285,2,2,29.59109975,0.506882919,0.094809713,1
167,167,0.31867736,0.634418486,0.240431999,1,0,37.73190816,0.472616643,0.507730165,0
168,168,0.18394416,0.126310443,0.094999196,1,2,34.53209969,0.449133839,0.803683137,0
169,169,0.037688811,0.676473,0.315102127,1,0,30.80117034,0.483100038,0.085031315,0
170,170,0.589739115,0.325240017,0.096679898,0,0,24.07957049,0.652263934,0.44753014,1
171,171,0.676715,0.686627244,0.176986657,1,0,26.75561323,0.383686925,0.713107664,0
172,172,0.013416531,0.069661135,0.987977678,0,0,41.96489499,0.619689932,0.484746221,1
173,173,0.510662415,0.174949217,0.444375199,2,0,35.54755863,0.546083839,0.959150078,1
174,174,0.22406186,0.856114241,0.532203168,1,1,47.04245583,0.533062018,0.004201168,0
175,175,0.644209641,0.227271088,0.87418262,1,1,43.19146597,0.591707049,0.92459226,0
176,176,0.17174939,0.837409617,0.996216025,1,0,33.63639872,0.397004905,0.111543824,1
177,177,0.690135356,0.279391278,0.583080469,2,1,20.53980904,0.601605365,0.501896959,0
178,178,0.384864335,0.643162227,0.81299628,1,1,31.93709888,0.69940902,0.897353434,0
179,179,0.936791047,0.694454173,0.327132893,0,2,40.78092677,0.44188393,0.108416625,1
180,180,0.134774471,0.512875929,0.305921393,2,0,43.43841278,0.374513258,0.096114359,1
181,181,0.33903491,0.30543769,0.402947175,2,1,39.75886558,0.341292586,0.017326262,1
182,182,0.110642572,0.212729306,0.672934421,2,2,32.99878898,0.593009288,0.603415239,0
183,183,0.924712394,0.033192787,0.682625441,2,2,44.73941196,0.195853646,0.425724666,1
184,184,0.877191779,0.304072795,0.315423336,2,0,35.98695737,0.328563313,0.058480465,0
185,185,0.255618179,0.653447776,0.133269885,0,0,43.65533035,0.644539197,0.998039402,1
186,186,0.659072927,0.938719298,0.632796104,2,2,30.22285608,0.182359178,0.889450061,0
187,187,0.816863441,0.871588489,0.128382497,1,0,30.31485464,0.416634212,0.777437903,1
188,188,0.553921601,0.766401035,0.578855653,2,0,42.35009571,0.419179438,0.680502059,0
189,189,0.528281612,0.788793767,0.693863527,2,2,38.25539066,0.700070753,0.523808361,0
190,190,0.239472322,0.665275258,0.70105779,2,2,43.44756054,0.548331903,0.30299164,1
191,191,0.090200258,0.260393424,0.753954396,2,0,38.81599579,0.643349113,0.071649507,0
192,192,0.897138007,0.907595382,0.873422996,2,1,43.14629032,0.344209798,0.926860537,0
193,193,0.900351555,0.671025277,0.500268665,0,0,36.48342306,0.366579522,0.217661609,1
194,194,0.632095902,0.560683508,0.730715663,0,1,33.95589836,0.429819721,0.187149809,1
195,195,0.336991196,0.111028234,0.619563579,2,2,40.69144367,0.38425494,0.641223643,1
196,196,0.34720674,0.447246929,0.18673628,0,1,22.94937028,0.564178534,0.100456533,1
197,197,0.72527631,0.460555697,0.025676397,1,2,41.49526957,0.577015196,0.426772881,1
198,198,0.897032138,0.8649446,0.284704385,2,0,34.82544243,0.492570651,0.792268357,1
199,199,0.88697309,0.546884834,0.44330462,1,0,32.35558233,0.78055749,0.027614495,0
200,200,0.779385592,0.380561663,0.617495381,1,2,33.37744095,0.333764188,0.070245768,1
201,201,0.641057462,0.97723229,0.850507312,2,2,31.37164921,0.637011446,0.065635011,1
202,202,0.08120597,0.110759236,0.196348597,1,2,26.64550646,0.713498101,0.416807231,0
203,203,0.158966929,0.422728683,0.125604535,1,0,43.11462301,0.493153791,0.613521988,0
204,204,0.898481139,0.04203212,0.964105224,1,0,31.9561032,0.189596899,0.301384982,0
205,205,0.605329808,0.740228499,0.108087385,2,1,25.42833179,0.562819289,0.29042135,1
206,206,0.005999791,0.918481845,0.478786126,2,2,28.79827221,0.404746174,0.850631663,0
207,207,0.098598432,0.280152865,0.585931689,1,1,22.40850888,0.272191704,0.92882678,0
208,208,0.662603007,0.858719842,0.541712293,2,0,28.85223555,0.399221373,0.311222454,0
209,209,0.001849796,0.292339298,0.086059995,2,1,23.75981693,0.470365442,0.201242132,0
210,210,0.158143383,0.911172137,0.057035003,1,1,24.10917186,0.418037423,0.432958701,1
211,211,0.54743186,0.754292666,0.105524509,2,0,25.48901269,0.379363763,0.580928085,1
212,212,0.691096179,0.805260675,0.58595566,0,0,35.38353465,0.367891103,0.232314763,0
213,213,0.651021957,0.018003093,0.544684782,2,2,35.61661782,0.537613691,0.790457408,0
214,214,0.221827573,0.963235965,0.233869202,0,1,29.80599121,0.31243157,0.263958453,1
215,215,0.711451458,0.726989361,0.638177651,1,0,35.29179675,0.519658451,0.019115918,0
216,216,0.234852948,0.304877854,0.820595131,2,0,25.75729241,0.432935085,0.788857476,0
217,217,0.323313222,0.829759684,0.04157653,1,1,43.16270867,0.482845975,0.440284284,1
218,218,0.745884176,0.281637408,0.498438371,1,0,31.38610009,0.695883167,0.702893297,0
219,219,0.648685417,0.87313855,0.689749011,1,2,25.90556507,0.377755965,0.456496378,0
220,220,0.848977068,0.112619877,0.252452982,1,2,26.84624956,0.607743055,0.855395735,1
221,221,0.656693443,0.703993908,0.307949721,1,1,35.81135982,0.566843803,0.384038899,1
222,222,0.567075439,0.540932388,0.614024978,2,2,22.57452835,0.463779926,0.255260438,1
223,223,0.090774268,0.09656667,0.898515941,0,0,36.91453761,0.441722508,0.855572847,1
224,224,0.365777978,0.241992041,0.810445143,2,0,25.09077835,0.435326006,0.317381723,1
225,225,0.262904425,0.012398029,0.583496522,2,0,46.25424852,0.570967718,0.953056431,0
226,226,0.241617183,0.468969211,0.730688173,2,0,32.82529368,0.670685881,0.249678882,0
227,227,0.973199062,0.301390437,0.365040131,2,1,30.43746822,0.505555513,0.888241847,1
228,228,0.391249064,0.598617581,0.64137121,0,2,31.67021009,0.512759897,0.615114979,0
229,229,0.891950645,0.297361155,0.466468266,2,2,37.50702712,0.406109006,0.540681851,0
230,230,0.630126176,0.300043676,0.190034721,1,0,26.39279784,0.407515021,0.355226754,0
231,231,0.794373817,0.743519071,0.702185335,2,1,46.26417226,0.453866795,0.96849063,0
232,232,0.501173232,0.048153059,0.556812784,2,0,40.24287603,0.434290289,0.730798579,0
233,233,0.575700914,0.903293394,0.358835021,0,0,37.42370297,0.857082527,0.165127382,0
234,234,0.491018284,0.852639279,0.911928964,0,1,49.46589098,0.44620266,0.89776885,0
235,235,0.192699285,0.668096318,0.020917632,1,1,32.61569761,0.479688101,0.583080928,0
236,236,0.721760439,0.593479334,0.315957416,2,0,24.69512817,0.493148446,0.774559905,1
237,237,0.278529115,0.892696086,0.056889388,2,2,16.50204566,0.539330052,0.516858403,1
238,238,0.021171817,0.185402705,0.767018491,2,0,58.25452434,0.564075396,0.905854138,0
239,239,0.644510198,0.078993385,0.702554766,1,2,20.91697697,0.57236077,0.14626394,0
240,240,0.17450328,0.2396073,0.331547091,0,2,41.60189385,0.573271738,0.560396576,0
241,241,0.940532741,0.794927487,0.676092209,1,1,29.63701715,0.765124587,0.545049554,0
242,242,0.954050052,0.034674372,0.396176073,2,1,33.83221498,0.42727845,0.106809876,0
243,243,0.914848637,0.58305987,0.756737971,0,0,23.55081096,0.498914123,0.088018831,1
244,244,0.368229457,0.995877942,0.454462168,0,2,26.09938288,0.577062248,0.073929255,1
245,245,0.012281345,0.856073058,0.412529702,1,2,36.71315002,0.61210352,8.60E-05,0
246,246,0.928350072,0.521670857,0.935335616,0,0,35.39009707,0.440484605,0.060024788,1
247,247,0.426458742,0.063658171,0.251019179,0,0,28.71367678,0.37590393,0.752447312,1
248,248,0.966821,0.831739432,0.120498611,2,0,36.58611372,0.276216149,0.167272783,0
249,249,0.963775497,0.599238887,0.584910378,2,1,34.61775037,0.599612314,0.009958472,0
250,250,0.852776413,0.114973552,0.969951066,0,0,29.73312831,0.508555836,0.270030834,0
251,251,0.292253689,0.093888269,0.378065738,0,0,37.21569398,0.624494862,0.786062252,0
252,252,0.383220965,0.910028275,0.062048264,1,2,32.7742074,0.495239988,0.550269722,1
253,253,0.85089705,0.669492532,0.339505554,1,0,25.16400396,0.673825115,0.274108094,0
254,254,0.314805748,0.82965177,0.506245394,0,2,23.57727526,0.380422311,0.672479123,0
255,255,0.166858587,0.879366438,0.162002517,2,2,41.38158196,0.748839886,0.023117202,0
256,256,0.555527674,0.572020375,0.658519568,0,1,23.0120902,0.383075102,0.337887654,1
257,257,0.936213812,0.517669704,0.998397999,0,0,55.24504853,0.61166808,0.882987593,1
258,258,0.695245302,0.430611244,0.452016317,2,0,33.01332578,0.54123569,0.232544626,0
259,259,0.568834162,0.317078885,0.354939345,2,2,37.9010047,0.792235249,0.297578958,0
260,260,0.094288295,0.434781687,0.400946259,1,1,31.40745159,0.189391992,0.196458638,0
261,261,0.613938109,0.774219464,0.11519384,1,1,31.54854293,0.627990131,0.22340123,0
262,262,0.990302229,0.602185147,0.883844266,1,0,39.91562196,0.614086353,0.584361049,1
263,263,0.137346546,0.892916978,0.415077363,1,2,30.16234597,0.500896662,0.273937151,1
264,264,0.516920917,0.44356973,0.38750736,2,0,31.01570909,0.371320881,0.815783779,0
265,265,0.877225616,0.607353641,0.660108704,0,0,31.11165395,0.504131868,0.621969063,0
266,266,0.740141286,0.631582614,0.442303654,1,0,42.1663656,0.902668185,0.449163221,0
267,267,0.69623471,0.591954234,0.648644099,1,0,28.5171162,0.47528285,0.488058275,0
268,268,0.701722263,0.702941225,0.061457388,2,2,42.87523046,0.339307271,0.335768853,1
269,269,0.357524434,0.237529656,0.814246653,2,1,43.45450582,0.541751734,0.983452597,0
270,270,0.29139363,0.512584821,0.941113585,0,0,17.4101273,0.375091226,0.775297882,0
271,271,0.808974781,0.104260495,0.649176379,0,0,42.90061478,0.360641093,0.043753321,1
272,272,0.809729663,0.384674309,0.955185136,2,0,28.29057507,0.470113441,0.409679279,0
273,273,0.866888677,0.487876897,0.151504682,1,0,30.09453382,0.362604043,0.338661246,1
274,274,0.913219095,0.652508819,0.477710514,1,1,43.5750723,0.520575333,0.497120438,0
275,275,0.509909118,0.950951084,0.602185753,1,1,25.10948257,0.523951045,0.464916494,1
276,276,0.500048496,0.600912205,0.582102001,0,1,40.96446678,0.516998955,0.870332465,0
277,277,0.797869931,0.74391997,0.401704387,1,1,30.07009744,0.748184638,0.468624028,1
278,278,0.649017612,0.506484334,0.338283865,1,0,36.7946211,0.594838751,0.2917433,0
279,279,0.701203239,0.634380362,0.126879635,2,2,32.21152205,0.442418085,0.281247622,1
280,280,0.795358631,0.070952789,0.391978441,1,1,18.61612694,0.622926749,0.385031492,1
281,281,0.889902261,0.25449547,0.162740828,2,1,30.32520625,0.421614772,0.696568524,0
282,282,0.335952927,0.362005784,0.734834953,1,0,32.8071286,0.577855049,0.218812059,0
283,283,0.373672764,0.472696292,0.208942385,0,0,42.87966292,0.653642741,0.650314161,0
284,284,0.091082519,0.045657836,0.058574442,1,0,32.88411447,0.805069137,0.25856021,1
285,285,0.577082005,0.140076048,0.552711494,1,0,32.51214141,0.650295464,0.601121884,0
286,286,0.032838966,0.27692838,0.595604274,2,2,37.82594865,0.779181087,0.811957952,0
287,287,0.464004043,0.97196226,0.872475991,2,2,32.00937191,0.431650517,0.430922741,0
288,288,0.541321315,0.331485844,0.577343729,2,1,27.54354482,0.579096586,0.492119764,1
289,289,0.28431827,0.482248331,0.345685346,1,2,20.57687454,0.608627537,0.216253412,1
290,290,0.589679222,0.196175128,0.803527898,1,1,40.37296339,0.639789803,0.298294691,0
291,291,0.027377825,0.611045809,0.540616019,0,1,30.73953208,0.445671515,0.724802415,0
292,292,0.03424982,0.280799044,0.079303525,1,2,37.53309161,0.31915141,0.083920158,0
293,293,0.822260695,0.207074942,0.566205098,0,1,28.4208779,0.401499697,0.487518825,0
294,294,0.358226382,0.516795583,0.908606059,2,0,37.71324564,0.881731667,0.890371012,0
295,295,0.124277293,0.00549666,0.396551728,2,1,49.44552996,0.802761946,0.262401494,0
296,296,0.520848273,0.007655873,0.296496825,2,0,27.76805878,0.789610841,0.334391782,1
297,297,0.769468885,0.219156656,0.143536403,0,2,25.71711447,0.612226994,0.993761556,0
298,298,0.213349613,0.036726399,0.151517899,1,2,15.48009271,0.589202289,0.08778823,0
299,299,0.621849051,0.108063173,0.433035411,2,1,25.4711397,0.361044701,0.50953048,0
300,300,0.082417712,0.339002899,0.596054672,1,0,49.28392921,0.363190428,0.203987447,1
301,301,0.048633704,0.802938524,0.080639555,1,1,45.05683192,0.501939406,0.257600391,0
302,302,0.529991652,0.572296792,0.940177584,2,2,18.47212206,0.39222269,0.259501588,0
